Name,Artist,Album,Seed,Seed Group,Plays,Genre
Shovel Knight - Strike The Earth,Lame Genie,The Pretension Index [Vol.3] - Welcome To Erf,572,7,18,Game
Augurio Oscuro (Black Omen),Orchestral Fantasy,EPOCH: A Tribute to Chrono Trigger,573,7,12,Game
Live A Live - MEGALOMANIA,RF,SQ SWING,574,7,11,Game
Prelude (SM),Metroid Metal,Varia Suite,575,7,11,Game
"Seiken Densetsu -Final Fantasy Gaiden- ""Final Battle ~ Mana Palace""",SEXY-SYNTHESIZER,SQ Chips,576,7,10,Game
Rito,Ro Panuganti,Return to the Wild (Music from Legend of Zelda: Breath of the Wild),577,7,8,Game
Battle! (Nemona),"Minako Adachi, Junichi Masuda, Go Ichinose, Hiromitsu Maeba, Teruo Taniguchi, Hitomi Sato, Toby Fox",Pokémon Scarlet and Violet OST,578,7,7,Game
It's Dangerous to Go Alone,dPoten,"OC ReMix, Zelda 05: Ocarina of Time",579,7,6,Game
2k9 battle jam,meganeko,boy irl girl url,580,7,5,Electronic
Route 216,insaneintherainmusic,Sinnohvation,581,7,5,Game
Super Mario's Sleigh Ride,The OneUps,"OC ReMix, Super Mario World",582,8,110,Game
Spinlock,aluminum,"OC ReMix, Super Mario 64",583,8,99,Game
Cosmic Transformations ~ Theme of L'il Traveller,ella guro,"OC ReMix, Rise of the Star: The Kirby's Adventure Remix Collaboration",584,8,91,Game
Wandering Latinas,Joshua Morse,"OC ReMix, Castlevania: Sonata of the Damned",585,8,85,Game
TRIX,Tepid,"OC ReMix, Reset Generation",586,8,85,Game
Soap and Water,A_Rival,"OC ReMix, Mega Man 2",587,8,81,Game
Goron City,Koji Kondo,The Legend Of Zelda: Ocarina of Time OST,588,8,80,Game
Rolling Start,Rayza,"OC ReMix, Top Gear 2",589,8,76,Game
man sieht sich galaxie,analoq,"OC ReMix, Commander Keen 4",590,8,75,Game
Hymn of Aveh,katethegreat19,"OC ReMix, Xenogears",591,8,70,Game
Still Alive,Jonathan Coulton,Portal OST,592,8,69,Game
N.A.S.A. (feat. Kool Keith and Tom Waits) - Spacious Thoughts (The Prelude),Team Teamwork,Vinyl Fantasy 7,593,8,69,Hip-Hop
Dark World,Koji Kondo,The Legend Of Zelda: A Link To The Past OST,594,8,67,Game
8-Bit Kamikaze,lazygecko,"OC ReMix, Last Ninja",595,8,63,Game
Unknown Origin,k-wix,Super Metroid ~Reserve Tank VARIAtions~,596,8,63,Game
"Dr. Mario - Chill, Fever",Retro Remix Revue,Volume 1,597,8,63,Game
Violet City,Junichi Masuda,"Pokémon Gold, Silver, and Crystal OST",598,8,54,Game
3 Raceways and Wario Stadium,Kenta Nagata,Mario Kart 64 OST,599,8,53,Game
Title Screen,Junichi Masuda,"Pokémon Red, Blue and Yellow OST",600,8,52,Game
Title Theme,Tim Follin,Treasure Master OST,601,8,51,Game
Music of My Duck,Shael Riley,Duck Hunt: Repercussions of Fowl Lamentation,602,8,50,Game
Flameman Stage,Yuko Takehara,Mega Man 6 OST,603,8,49,Game
Act 3 : The Swamps / Act 10 : Gargamel's Manor,Alberto José González,The Smurfs (NES) OST,604,8,49,Game
Overworld BGM,Koji Kondo,Super Mario World OST,605,8,49,Game
Pokémon Ruby/Sapphire/Emerald - Mt. Pyre Peak,Smooth McGroove,VGM Acapella: Volume 3,606,8,49,Game
Chrono Trigger,Yasunori Mitsuda,Chrono Trigger OST,607,8,48,Game
Pocket Logic,Cuttlefish,Cuttlefish (Re-Edit),608,8,48,Chiptune
Fighting,Nobuo Uematsu,Final Fantasy VII OST,609,8,48,Game
Nexus,Derris-Kharlan,"Derris-Kharlan, Singles",610,8,47,Chiptune
Dreams Come True,"Star Salzman, Protricity","OC ReMix, Mega Man X",611,8,47,Game
Overworld,Koji Kondo,The Legend Of Zelda OST,612,8,46,Game
The Paper Chase (Chase GBA),Diggi Dis,"OC ReMix, Donkey Kong Country 3: Double the Trouble!",613,8,44,Game
Street Fighter II: The World Warrior - Guile's Theme,Smooth McGroove,VGM Acapella: Volume 1,614,8,44,Game
"No Matter Where You Go, This Will Always Be Home (Mega Man Battle Network: Hometown)",Level 99,"OC ReMix, For Everlasting Peace: 25 Years of Mega Man",615,8,42,Game
Super Mario Kart - Mario Circuit,"Takahiro Nishi, Shogo Sakai, Masaaki Iwasaki, Yutaka Iraha, Keigo Ozaki, Kentaro Ishizaka",Super Smash Bros. Brawl OST,616,8,42,Game
Monster Dance,"Soyo Oka, Hiroaki Suga, Hideki Kanazashi",Famicom Grand Prix II: 3D Hot Rally OST,617,8,41,Game
Blast Beatdown (Nuts and Bolts),"tefnek, zircon","OC ReMix, Donkey Kong Country 3: Double the Trouble!",618,8,41,Game
anima,an0va,Ego Depletion,619,8,40,Chiptune
The Glory Days,Big Giant Circles,The Glory Days,620,8,40,Electronic
This Too Shall Pass (J. Arthur Keenes Band Remix),OK Go,Twelve Remixes of Four Songs,621,8,40,Rock
Snow World (Winterbliss) Castle Crashers Guitar Cover,FamilyJules,FamilyJules7x Year 2 Complete Collection,622,8,39,Game
Those Who Fight (Final Fantasy VII),Daniel Tidwell,Versus Video Games,623,8,38,Game
8 Bit,"Jérémie Périn, Simon Périn",Edge OST,624,8,37,Game
Level 3,Kulor,Alter Ego OST,625,8,36,Game
Winterstorm,Machinae Supremacy,Origin,626,8,35,Metal
Descent,DDRKirby(ISQ),9-bit Blitzkrieg,627,8,35,Electronic
Moon Fight,Sota Fujimori,Castlevania Chronicles OST,628,8,33,Game
The Legend of Zelda: Wind Waker - Outset Island,coatlesscarl,coatlesscarl's 8-bit Covers,629,8,30,Game
Xenoblade - One Who Gets In Our Way,coatlesscarl,coatlesscarl's 8-bit Covers,630,8,30,Game
With You,I Fight Dragons,Hey! Listen! v3,631,8,30,Game
Green Memories,Harmsing,Chronicles of Time,632,8,29,Game
The Legend of Zelda: Ocarina of Time - Hyrule Field,coatlesscarl,coatlesscarl's 8-bit Covers,633,8,29,Game
Marble Bombast,"Annette DiMedio, Farkle","OC ReMix, Castlevania: Symphony of the Night",634,8,29,Game
Enemy Down,Sabrepulse,Bit Pilot OST,635,8,28,Game
Halfpipe Gigashark,JANX RAVE GALAXY,Chiptunes = WIN: Volume 4,636,8,28,Chiptune
Candles Galore (Secret Room),PirateCrab,"OC ReMix, Vampire Variations: Volume III",637,8,28,Game
Go Straight,Yuzo Koshiro,Streets of Rage 2 OST,638,8,28,Game
♥︎ノンケの涙,sylcmyk,HalloWIN,639,8,26,Chiptune
The Fall of Halberd,Camoshark,Harmony of Heroes,640,8,25,Game
Boneyard Boogie,Monomer,Weekly Treats: 2014,641,8,23,Chiptune
Time Warrior,Sam Dillard,Chrono Cinematica: A Symphonic Tribute,642,8,22,Game
Disco Text,Roboctopus,Disco.txt,643,8,22,Chiptune
Battle! (Hop),"Minako Adachi, Go Ichinose",Pokémon Sword and Shield OST,644,8,22,Game
Wisp Inc.,GlacialSpoon,"OC ReMix, Sonic Colors",645,8,19,Game
Albatross (Above the World),Auxcide,Omnia: Original Soundtrack (Disc 1),646,8,19,Chiptune
Historia Medley,RebeccaETripp,"OC ReMix, Zelda 08: Wind Waker",647,8,17,Game
Sequin Land East ~ Day Travel,Jake Kaufman,Shantae OST,648,8,11,Game
Sandpiper Squad,Cityfires,Chiptunes = WIN: Volume 8,649,8,8,Chiptune
Results,Ben Cullum,Mickey's Speedway USA (N64) OST,650,8,5,Game
East Province (Riding),"Minako Adachi, Junichi Masuda, Go Ichinose, Hiromitsu Maeba, Teruo Taniguchi, Hitomi Sato, Toby Fox",Pokémon Scarlet and Violet OST,651,8,5,Game
"Until the Very End (from ""Mass Effect: Andromeda"")",Lazerwolph,MENU: An Homage to Game Title Themes,652,8,4,Game
Starlit Sails,Ivan Hakštok,"OC ReMix, Atelier Shallie",653,8,4,Game
Lights Camera Action,meganeko,Sequence Break,654,8,3,Electronic
Fi's Theme,Rozen,Ballads of Hyrule II,655,8,2,Game
Party in the Snowland,DarkeSword,"OC ReMix, Mario Kart 64",656,9,107,Game
Tight Finale,Jivemaster,"OC ReMix, Sonic the Hedgehog 3",657,9,99,Game
insomnic,insomnic,"OC ReMix, Super Mario Bros. 2",658,9,91,Game
Kirby...tacular ~ Theme of Swift Hunter,Rellik,"OC ReMix, Rise of the Star: The Kirby's Adventure Remix Collaboration",659,9,90,Game
Gestation,Daisuke Amaya (Pixel),Cave Story OST,660,9,81,Game
The Desert Rocks vs. Concerto for Laser and Enemies,Awesome-A,"OC ReMix, Turrican 2",661,9,81,Game
Tricky Swamp Style,Siamey,"OC ReMix, Donkey Kong Country 2",662,9,80,Game
ThemeofChao(PartyStarted),LeeBro,"OC ReMix, Sonic Adventure",663,9,79,Game
VivaminE Oldskool RaveMix,daXX,"Remix64, VivaminE",664,9,78,Game
BAD CARTRIDGE (E-Pro),Beck,Hell Yes,665,9,77,Indie
House 6581 (club mix - short edit),Dafunk,"Remix64, 6581 House",666,9,76,Game
Main Theme & Overworld,Koji Kondo,Super Mario Bros. OST,667,9,74,Game
Live from [SUBJECT HOMETOWN HERE],UMD Gamer Symphony Orchestra,2008 Spring Concert,668,9,73,Game
Addiction,Maktone,Infinite Game Music - The Chiptune EP,669,9,72,Chiptune
CPC Zone,Malc Jennings,"OC ReMix, Robocop",670,9,72,Game
Neighburgers,Protricity,"OC ReMix, Zombies Ate My Neighbors",671,9,70,Game
The Barbery Coast,Michael Land,MI3 - The Curse of Monkey Island OST,672,9,69,Game
Overworld,Koji Kondo,The Legend Of Zelda: A Link To The Past OST,673,9,67,Game
West Coast DK Island,JJT,"OC ReMix, Donkey Kong Country: Kong In Concert",674,9,67,Game
Downstairs,Random,8BP050,675,9,65,Chiptune
Cave Story - Plantation,Rare Candy,Bomber Blue / Gallant Green,676,9,64,Game
Circuit Breaker,Injury,"OC ReMix, Mega Man",677,9,64,Game
Pop goes Classics,DJ Mitch,"Remix64, The Human Race",678,9,64,Game
Edenal,The Wingless,Super Metroid ~Reserve Tank VARIAtions~,679,9,63,Game
Salvation for a Broken Heart,Nullsleep,Unconditional Acceleration,680,9,62,Chiptune
Coronation / Baba Yetu,UMD Gamer Symphony Orchestra,2010 Spring Concert,681,9,62,Game
The Link (Instrumental),Dicepticon,"R:TS, Zelda 02: The Adventure of Link",682,9,61,Game
Until the Tower Falls (Tower of Bab-il),"Nutritious, OceansAndrew, Moonlapse, nonsensicalexis, audio fidelity","OC ReMix, FFIV: Echoes of Betrayal, Light of Redemption, Act III - Redemption",683,9,59,Game
Breathtaking Vision,Kanjika,"OC ReMix, Sonic 3 & Knuckles: Project Chaos",684,9,55,Game
Battle of the Hylian Hero,Random Hero,"OC ReMix, Zelda 02: The Adventure of Link",685,9,53,Game
Temple,Akito Nakatsuka,Zelda II: The Adventure of Link OST,686,9,53,Game
Bit Happy,Freaky DNA,Retro City Rampage OST,687,9,51,Game
Sensible,_ensnare_,No Carrier Rush,688,9,50,Chiptune
Legend of Zelda pt1,YMCK,PiCTOBiTS OST,689,9,50,Game
Rainbow Road,Soyo Oka,Super Mario Kart OST,690,9,48,Game
Route 4,Junichi Masuda,"Pokémon Red, Blue and Yellow OST",691,9,46,Game
Sky Sanctuary Zone,"Howard Drossin, Jun Senoue, Tomonori Sawada, Tatsuyuki Maeda, Sachio Ogawa",Sonic & Knuckles OST,692,9,46,Game
Tal Tal Heights,dj-Jo,The TRIFORCE of BASS,693,9,46,Game
For People of Worlds,Alex Mauer,9999,694,9,46,Chiptune
Accident! A Mountain Rescue by Skies! Glory! (Frosty Frolics GBA),PROTO·DOME,"OC ReMix, Donkey Kong Country 3: Double the Trouble!",695,9,45,Game
"Humble Beginnings, Great Expectations (The Prelude)",Disco Dan,"OC ReMix, FFVI: Balance and Ruin",696,9,45,Game
Main Theme,Hajime Hirasawa,Star Fox OST,697,9,43,Game
Subtlety,TGH,SubtletyMachine,698,9,41,Electronic
Dank Taquitos,Ro-Bear,Three Years,699,9,41,Chiptune
Blue In The Face,Angry Sons,Minus World,700,9,40,Nerdcore
"Gobble, Snarf, Snap (Phantom Train)",XPRTNovice,"OC ReMix, FFVI: Balance and Ruin",701,9,39,Game
Ikanger,Katsuya Yamano,Teleroboxer OST,702,9,39,Game
Heat Wave,Simon Viklund,Bionic Commando Rearmed OST,703,9,37,Game
Title,Jeroen Tel,Turbo Outrun OST,704,9,36,Game
Video Game Guitar Medley,FamilyJules,FamilyJules7x Year 2 Complete Collection,705,9,35,Game
Loft,Most Noble 9,Maybe We're The Same,706,9,34,Chiptune
Fleet Glide Galaxy,Ryō Nagamatsu,Super Mario Galaxy 2 OST,707,9,34,Game
The Tragic Prince,Michiru Yamane,Castlevania: Symphony of the Night OST,708,9,31,Game
Act 2 - Family,Space Town Savior,Ad Infinitum³ OST,709,9,30,Game
Ancient Lake,David Wise,Diddy Kong Racing OST,710,9,30,Game
Lorule Castle 5,"Ryo Nagamatsu, Koji Kondo",The Legend of Zelda: A Link Between Worlds OST,711,9,30,Game
Woodlands (Normal),Ryo Nagamatsu,The Legend of Zelda: Tri Force Heroes OST,712,9,30,Game
Hyrule Field Main Theme,"Toru Minegishi, Asuka Ohta, Koji Kondo",The Legend of Zelda: Twilight Princess OST,713,9,30,Game
High in the Treetops,"Vince Guaraldi, Minako Hamano",Snoopy Concert OST,714,9,30,Game
Rubicon 99,Drax,A 90s Tracker Collection,715,9,30,Electronic
Home of the Calumma (Level III),HyperDuck SoundWorks,A.R.E.S: Extinction Agenda OST,716,9,29,Game
Craic in the Castle Walls (Cid's Theme),XPRTNovice,"OC ReMix, Final Fantasy IX: Worlds Apart",717,9,28,Game
Tunnel Scene,"Kazumi Totaka, Hirokazu Tanaka",X OST,718,9,27,Game
Awakening of the Forest Sage,Audio Mocha,"OC ReMix, Zelda 05: Ocarina of Time",719,9,23,Game
Galactic,National Broadcast Network,Chiptunes = WIN: Volume 8,720,9,22,Chiptune
The World Rises,Sam Dillard,Chrono Cinematica: A Symphonic Tribute,721,9,20,Game
The Brood (SM),Metroid Metal,Other Album,722,9,14,Game
Battle! (Team Galactic),Junichi Masuda,Pokémon Diamond and Pearl OST,723,9,6,Game
Kakatatamamariri 1,Taku Inoue,Touch My Katamari OST,724,9,6,Game
Area Zero,Lame Genie,Lame Genie Presents: Pokemon Scarlet & Violet (The Metal Album),725,9,5,Game
Dockyard,Ben Cullum,Mickey's Speedway USA (N64) OST,726,9,5,Game
